station_code;category;unit;description;status;maps;latitude;longitude;altitude;province;city;district;subdistrict;network;start_date;address
GEBBI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-8.164,114.714;-8.164;114.714;;Bali;;;;;2023-01-01;Penyabangan, Gerokgak, Buleleng, Bali, Nusa Tenggara, Indonesia
GEJI;Stasiun Gempa Bumi;Stageof Malang;;;https://www.google.com/maps?q=-8.3469,112.5901;-8.3469;112.5901;80;Jawa Timur;Malang;Gedangan;Sidodadi;;2019-10-01;RW04, Dusun Sumber Alun, TUMPAKREJO, Kabupaten Malang, Jawa Timur, Jawa, Indonesia
GENI;Stasiun Gempa Bumi;Stageof Jayapura;;;https://www.google.com/maps?q=-2.5926,140.1677;-2.5926;140.1677;47;Papua;Papua;Jayapura Utara;Angakasapura;;2009-11-27;Kantor Klimatologi Kelas III Genyem Jl.Jaring jabri, No.69, Genyem, Papua
GESM;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=4.842218,96.127845;4.842218;96.127845;1034;Aceh;Pidie;Geumpang;Bangkeh;;2019-10-01;Jl. Geumpang - Tutut
GGJM;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.171615,111.203525;-7.171615;111.203525;81;Jawa Tengah;Grobogan;Gabus;;;2019-10-01;138, Tlogotirto, Grobogan, Jawa Tengah, Jawa, Indonesia
GHMI;Stasiun Gempa Bumi;Stageof Ternate;;;https://www.google.com/maps?q=-0.3563,127.8497;-0.3563;127.8497;105;Maluku Utara;Halmahera Selatan;Gane Barat;Desa Saketa;;2019-10-01;Saketa
GKJM;Stasiun Gempa Bumi;Stageof Sleman;;;https://www.google.com/maps?q=-7.8411,110.5922;-7.8411;110.5922;211;Yogyakarta;Gunung Kidul;Gedangsari;Hargomulyo;;2019-10-01;Jl.wedi wonosari
GMJI;Stasiun Gempa Bumi;Stageof Malang;;;https://www.google.com/maps?q=-8.2732,113.4441;-8.2732;113.4441;80;Jawa Timur;Jember;Gumukmas;Gumukmas;;2007-01-01;Desa Tembokrejo
GPSM;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=4.869358,96.090411;4.869358;96.090411;417;Aceh;Pidie;Mane;;;2019-10-01;Kantor Kecamatan Mane
GRJI;Stasiun Gempa Bumi;Stageof Pasuruan;;;https://www.google.com/maps?q=-6.9145,112.4793;-6.9145;112.4793;97;Jawa Timur;Gresik;Panceng;Prupuh;;2007-01-01;Jalan Dusun Larangan
GSI;Stasiun Gempa Bumi;Stageof Gunungsitoli;;;https://www.google.com/maps?q=1.3036,97.5754;1.3036;97.5754;96;Sumatera Utara;Gunung Sitoli;Gunung Sitoli;Onowaembo;;2009-07-01;Jl. Ke Alasa
GTJI;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.163778,110.183718;-7.163778;110.183718;;Jawa Tengah;;;;;2019-01-01;bawong Wetan, Temanggung, Jawa Tengah, Jawa, Indonesia
GTOI;Stasiun Gempa Bumi;Stageof Gorontalo;;;https://www.google.com/maps?q=0.7628,122.87;0.7628;122.87;313;Gorontalo;Gorontalo Utara;Kwandang;Pontolo;;2006-12-01;Desa Pontolo
GTSI;Stasiun Gempa Bumi;Stageof Padang Panjang;;;https://www.google.com/maps?q=-0.59807,101.488844;-0.59807;101.488844;55;Riau;Kuantan Singingi;Gunung Toar;Toar;;2019-10-01;Balai Penyuluhan Pertanian - Kecamatan Gunung Towar
GUJM;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.054263,110.666441;-7.054263;110.666441;85;Jawa Tengah;Grobogan;Gubug;;;2019-10-01;Buntu, Gubug, Grobogan, Jawa Tengah, Jawa, 58164, Indonesia
HINSI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-0.54,98.499;-0.54;98.499;;Sumatera Utara;;;;;2023-01-01;Hilioromao, Nias Selatan, Sumatera Utara, Sumatera, Indonesia
IATSM;Stasiun Gempa Bumi;Stageof Aceh Besar;;;https://www.google.com/maps?q=4.924071,97.784543;4.924071;97.784543;28;Aceh;Aceh Timur;Idi;;;2020-11-01;Kampung Jawa, Idi Timur, Aceh Timur, Aceh, Sumatera, 24454, Indonesia
IBTI;Stasiun Gempa Bumi;Stageof Alor;;;https://www.google.com/maps?q=-8.3857,123.2584;-8.3857;123.2584;154;Nusa Tenggara Timur;Flores Timur;Ile Boleng;Ile Boleng;;2019-10-01;Kantor Camat Ile Boleng
IGBI;Stasiun Gempa Bumi;Stageof Denpasar;;;https://www.google.com/maps?q=-8.8181,115.1456;-8.8181;115.1456;255;Bali;Badung;;Ungasan;;2006-12-01;Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80163, Indonesia
IHMI;Stasiun Gempa Bumi;Stageof Ternate;;;https://www.google.com/maps?q=1.5082,127.5555;1.5082;127.5555;132;Maluku Utara;Halmahera Barat;Ibu;;;2019-10-01;Jl Gam Ici
IHRSI;Stasiun Gempa Bumi;Stageof Padang Panjang;;;https://www.google.com/maps?q=-0.9652,102.764519;-0.9652;102.764519;49;Riau;Indragiri Hilir;;;;2021-12-08;Selensen, Kecamatan Kemuning, Indragiri Hilir, Riau, Sumatera, Indonesia
IWPI;Stasiun Gempa Bumi;Stageof Nabire;;;https://www.google.com/maps?q=-2.7579,134.5163;-2.7579;134.5163;99;Papua Barat;Teluk Wondama;Wasior;Iriati;;2019-10-01;Jl, Perumahan Pemda Manggurai (Sebelah Lapangan Tennis Pemda Manggurai)
JAASI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=3.766,96.82;3.766;96.82;;Aceh;;;;;2023-01-01;Desa Cot Mane, Jeumpa, Aceh Barat Daya, Aceh, Sumatera, 23764, Indonesia
JAGI;Stasiun Gempa Bumi;Stageof Malang;;;https://www.google.com/maps?q=-8.4703,114.152;-8.4703;114.152;100;Jawa Timur;Banyuwangi;Jajag;Bangorejo;;2008-07-15;Dusun Sendangrejo
JASI;Stasiun Gempa Bumi;Stageof Padang Panjang;;;https://www.google.com/maps?q=-1.41448,101.45839;-1.41448;101.45839;262;Sumatera Barat;Solok Selatan;Sangir Balai Janggo;;;2019-10-01;Sungai Kunyit, Solok Selatan, Sumatera Barat, Sumatera, Indonesia
JAY;Stasiun Gempa Bumi;Stageof Jayapura;;;https://www.google.com/maps?q=-2.5145,140.7043;-2.5145;140.7043;458;Papua;Jayapura;Jayapura Utara;Angakasapura;;2009-06-01;Jl. Drs.Krisna Sunarya No.26 Angkasapura Jayapura
JBJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.483735,106.4698517;-6.483735;106.4698517;146;Jawa Barat;Bogor;Jasinga;Pamagersari;;2019-10-01;Jl. Raya Jasinga, Pamagersari, Jasinga, Bogor, Jawa Barat 16670
JBJM;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-6.9729,111.4587;-6.9729;111.4587;98;Jawa Tengah;Blora;Jepon;;;2019-10-01;Seso, Blora, Jawa Tengah, Jawa, 58261, Indonesia
JCJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.7344,108.2629;-6.7344;108.2629;85;Jawa Barat;Majalengka;Jatiwangi;Sutawangi;;2005-01-01;Jl. Letda Arzain No. 28 Kab. Majalengka 45454
JHMI;Stasiun Gempa Bumi;Stageof Ternate;;;https://www.google.com/maps?q=1.0756,127.478;1.0756;127.478;36;Maluku Utara;Halmahera Barat;Jailolo;Hate Bicara;;2019-10-01;Jl. Porniki
JMBI;Stasiun Gempa Bumi;Stageof Kepahiang;;;https://www.google.com/maps?q=-1.6764,103.576;-1.6764;103.576;76;Jambi;Muara Jambi;Mestong;Pondok Meja;;2008-01-01;Jl. Tribrata km.11 Pondok Meja
JMSI;Stasiun Gempa Bumi;Stageof Kepahiang;;;https://www.google.com/maps?q=-2.63715,101.88745;-2.63715;101.88745;1275;Jambi;Merangin;Jangkat;Muara Manderas;;2019-10-01;Kantor Kecamatan Jangkat
JPJI;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-6.530658,107.41757;-6.530658;107.41757;150;Jawa Barat;Purwakarta;Jatiluhur;;;2019-10-01;Kantor Kecamatan Jatiluhur, Jalan Ir. H. Juanda, Purwakarta, Jawa Barat, Jawa, 41152, Indonesia
JPSI;Stasiun Gempa Bumi;Stageof Padang Panjang;;;https://www.google.com/maps?q=-1.34146,100.58621;-1.34146;100.58621;31;Sumatera Barat;Pesisir Selatan;Jurai;;;2019-10-01;Painan, Pesisir Selatan, Sumatera Barat, Sumatera, 25354, Indonesia
JSBFM;Stasiun Gempa Bumi;Stageof Mataram;;;https://www.google.com/maps?q=-8.8717,116.8164;-8.8717;116.8164;79;Nusa Tenggara Barat;Sumbawa Barat;Jereweh;Belo;;2020-11-01;Kantor Camat Jereweh, Belo, Jereweh, Kabupaten Sumbawa Barat, Nusa Tenggara Bar. 84456
JTJM;Stasiun Gempa Bumi;Stageof Bandung;;;https://www.google.com/maps?q=-7.057022,106.80131;-7.057022;106.80131;528;Jawa Barat;Sukabumi;Jampang Tengah;;;2019-10-01;Jampang Tengah, Kab Sukabumi, Jawa Barat, Jawa, Indonesia
JWJM;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.2062,110.73146;-7.2062;110.73146;74;Jawa Tengah;Boyolali;Juwangi;;;2019-10-01;Kantor Kelurahan Sambeng, Kedungdawung, Sambeng, Boyolali, Jawa Tengah, Jawa, 57391, Indonesia
KABKI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-0.750684,116.241898;-0.750684;116.241898;;Kalimantan Timur;;;;;2023-01-01;Kantor Kecamatan Bongan, Jalan Poros Samarinda-Melak, Jambuk Makmur, Kutai Barat, Kalimantan Timur, Kalimantan, Indonesia
KAKKI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=1.366887,117.750031;1.366887;117.750031;;Kalimantan Timur;;;;;2023-01-01;Mukti Lestari, Kutai Timur, Kalimantan Timur, Kalimantan, Indonesia
KAPI;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-5.0142,119.7517;-5.0142;119.7517;409;Sulawesi Selatan;Maros;Camba;Cenrana;;2010-01-01;Jalan Raya Camba KM.82
KARPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-0.061,130.991;-0.061;130.991;;Papua Barat;;;;;2023-01-01;Andey, Raja Ampat, Papua Barat Daya, Western New Guinea, Indonesia
KASAI;Stasiun Gempa Bumi;Stageof Aceh Selatan;;;https://www.google.com/maps?q=2.491893,97.858239;2.491893;97.858239;;Aceh;;;;;2022-01-01;Kampong Mukti Lincir, Kota Baharu, Aceh Singkil, Aceh, Sumatera, Indonesia
KBBI;Stasiun Gempa Bumi;Stageof Denpasar;;;https://www.google.com/maps?q=-8.286,115.2547;-8.286;115.2547;1053;Bali;Bangli;Kintamani;;;2019-10-01;Mengani, Bangli, Bali, Nusa Tenggara, Indonesia
KBJM;Stasiun Gempa Bumi;Stageof Banjarnegara;;;https://www.google.com/maps?q=-7.050397,111.23307;-7.050397;111.23307;62;Jawa Tengah;Blora;Kunduran;;;2019-10-01;134, Kunduran, Blora, Jawa Tengah, Jawa, Indonesia
KBKI;Stasiun Gempa Bumi;Stageof Balikpapan;;;https://www.google.com/maps?q=-3.2995,116.1668;-3.2995;116.1668;65;Kalimantan Selatan;Kotabaru;Pulau Laut Utara;Stagen;;2007-01-01;Stasiun Meteorologi Kotabaru Jl. Raya Stagen KM 10, Kotabaru 72151
KBSSI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-9.593,118.993;-9.593;118.993;;Nusa Tenggara Timur;;;;;2023-01-01;Bondokodi, Sumba Barat Daya, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
KCSI;Stasiun Gempa Bumi;Pusinskal;;;https://www.google.com/maps?q=3.5221,97.7715;3.5221;97.7715;204;Aceh;Aceh Tenggara;Darul Hasanah;Lawe Gulo;;2008-01-01;Jalan Lintas Kecamatan
KDI;Stasiun Gempa Bumi;Stageof Kendari;;;https://www.google.com/maps?q=-3.9574,122.6193;-3.9574;122.6193;55;Sulawesi Tenggara;Kendari;Kendari;Purirano Kendari;;2006-12-21;Jl. R.E Martadinata No.154
KGCM;Stasiun Gempa Bumi;Stageof Gorontalo;;;https://www.google.com/maps?q=0.5485,123.0099;0.5485;123.0099;32;Gorontalo;Gorontalo;Kwandang;;;2019-10-01;Tilote, Gorontalo, Sulawesi, 96136, Indonesia
KHK;Stasiun Gempa Bumi;Stageof Denpasar;;;https://www.google.com/maps?q=-8.364,115.6096;-8.364;115.6096;220;Bali;Karang Asem;Abang;Kertamandala;;2006-01-01;Jalan Raya Kahang-Kahang
KHSSI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-9.801,119.945;-9.801;119.945;;NusaTenggaraTimur;;;;;2023-01-01;Desa Kombapari, Kecamatan Kata Hamu Lingu, Sumba Timur, Nusa Tenggara Timur, Nusa Tenggara, 87200, Indonesia
KIMPI;Stasiun Gempa Bumi;Garansi;;;https://www.google.com/maps?q=-7.979,138.852;-7.979;138.852;;Papua;;;;;2023-01-01;Bandar Udara Kimaam, Kimaam, Merauke, Papua Selatan, Western New Guinea, Indonesia
KJCM;Stasiun Gempa Bumi;Stageof Gowa;;;https://www.google.com/maps?q=-5.5664,119.8025;-5.5664;119.8025;256;Sulawesi Selatan;Jeneponto;Kelara;Tolo;;2020-11-01;Kantor Camat Kelara, Jeneponto (Tolo, Kelara, Kabupaten Jeneponto, Sulawesi Selatan 92371)
KJPI;Stasiun Gempa Bumi;;;;https://www.google.com/maps?q=-6.156001,106.842396;-6.156001;106.842396;;Jakarta;;;;;2024-01-01;BMKG Badan Meteorologi Klimatologi Dan Geofisika, Jalan Selaparang, RW 10, Gunung Sahari Selatan, Kemayoran, Jakarta Pusat, Daerah Khusus ibukota Jakarta, Jawa, 10610, Indonesia
KKJM;Stasiun Gempa Bumi;;Stageof Sleman;;https://www.google.com/maps?q=-7.9682,110.2661;-7.9682;110.2661;;Yogyakarta;;;;;2019-01-01;Kantor Kapanewon Sanden, Jalan Sanden, Srigading, Sanden, Bantul, Daerah Istimewa Yogyakarta, Jawa, 55763, Indonesia
KKKI;Stasiun Gempa Bumi;;Stageof Sleman;;https://www.google.com/maps?q=-2.515,110.1956;-2.515;110.1956;;Kalimantan Barat;Ketapang;Kendawangan;Mekar utama;;2019-10-01;Jalan Pangeran adi
KKKKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=-1.871143,113.419801;-1.871143;113.419801;;Kalimantan Tengah;;;;;2022-01-01;Jalan Letjend. M. T. Haryono, Katingan, Kalimantan Tengah, Kalimantan, Indonesia
KKMI;Stasiun Gempa Bumi;;Stageof Maluku Tenggara Barat;;https://www.google.com/maps?q=-5.693,132.7179;-5.693;132.7179;72;Maluku;Maluku Tenggara;Kei Kecil;Ngayub;;2019-10-01;Jl. Debut-Ohoijang
KKSI;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-4.1717,121.6513;-4.1717;121.6513;89;Sulawesi Tenggara;Kolaka / Kolaka;Pomalaa;Huko-Huko;;2008-01-01;Jl. Veteran, Huko-Huko
KKTKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=1.186094,116.949317;1.186094;116.949317;;Kalimantan Timur;;;;;2022-01-01;Miau Baru, Kutai Timur, Kalimantan Timur, Kalimantan, 75657, Indonesia
KLI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-4.836343,104.87045;-4.836343;104.87045;64;Lampung;Lampung Utara;Kotabumi Selatan;Kota Alam;;2005-01-01;Jl.Raden Intan No.219
KLJI;Stasiun Gempa Bumi;;Stageof Malang;;https://www.google.com/maps?q=-7.99607,113.25175;-7.99607;113.25175;218;Jawa Timur;Lumajang;Klakah;;;2019-10-01;Klakah, Lumajang, Jawa Timur, Jawa, Indonesia
KLNI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.4219,116.0949;-8.4219;116.0949;53.7;Nusa Tenggara Barat;Lombok Utara;Pemenang;Desa Pemenang Barat;;2006-12-01;Desa Pemenang Barat, Lombok Utara
KLSI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-4.687171,104.73169;-4.687171;104.73169;95;Lampung;Lampung Utara;Sungkai Selatan;Simpang Kandau;;2007-06-01;Jl. Raya Negara Ratu
KLSM;Stasiun Gempa Bumi;;Stageof Aceh Selatan;;https://www.google.com/maps?q=3.086453,97.329818;3.086453;97.329818;18;Aceh;Aceh Selatan;Kluet Utara;Simpang Lhee;;2019-10-01;Simpang Empat Kotafajar
KMBFM;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-8.5654,120.3131;-8.5654;120.3131;1217.1;Nusa Tenggara Timur;Manggarai Barat;Kuwus;Nantal;;2020-11-01;Nantal, Kuwus, Manggarai Barat, Nusa Tenggara Timur
KMMI;Stasiun Gempa Bumi;;Stageof Pasuruan;;https://www.google.com/maps?q=-7.0412,113.9157;-7.0412;113.9157;49;Jawa Timur;Sumenep;Kalianget;Kertasada;;2005-01-01;Stasiun Meteorologi Klas III, Jl. Raya Kalianget Barat No.8, Sumenep, Madura
KMNI;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.62,116.089;-8.62;116.089;19;Nusa Tenggara Barat;Mataram;;;;2021-12-08;Jalan Dokter Soedjono, Perumahan Lingkar Permata, Kel. Pagutan, Bajur, Mataram, Kec. Sekarbela, Nusa Tenggara Barat, Nusa Tenggara, 83116, Indonesia
KMPI;Stasiun Gempa Bumi;;Stageof Sorong;;https://www.google.com/maps?q=-3.6617,133.7044;-3.6617;133.7044;90;Papua Barat;Kaimana;Distrik Kaimana;Kaimana Kota;;2008-01-01;Jl. Utarom Kaimana
KMSI;Stasiun Gempa Bumi;;Stageof Manado;;https://www.google.com/maps?q=0.5745,123.8907;0.5745;123.8907;218;Sulawesi Utara;Bolaang Mongondow;Domuga Utara;;;2007-01-01;Desa Mupuya Utara no 1
KOMFI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.536,119.547;-8.536;119.547;;NusaTenggaraTimur;;;;;2023-01-01;Komodo, Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
KORPI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-1.158,129.845;-1.158;129.845;;PapuaBarat;;;;;2023-01-01;Deer, Raja Ampat, Papua Barat Daya, Western New Guinea, 98483, Indonesia
KPJI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.333256,108.931228;-7.333256;108.931228;111;Jawa Tengah;Cilacap;Karang Pucung;Pamulihan;;2007-01-01;Dusun Cirebah
KPJM;Stasiun Gempa Bumi;;Stageof Nganjuk;;https://www.google.com/maps?q=-7.1883,111.9281;-7.1883;111.9281;48;Jawa Timur;Bojonegoro;Kapas;Plesungan;;2019-10-01;Jl Raya Bakalan
KRAI;Stasiun Gempa Bumi;;Stageof Ambon;;https://www.google.com/maps?q=-3.3184,128.3947;-3.3184;128.3947;124;Maluku;Seram;Kairatu;Dusun Ursana;;2009-01-01;Jalan Hunitetu Km 6
KRJI;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-2.091179,101.461952;-2.091179;101.461952;810;Jambi;Kerinci;Setinjau Laut;Sebukar;;2006-01-01;Bandara Depati Parbo Kerinci
KRSI;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-1.8903,119.5627;-1.8903;119.5627;62;Sulawesi Barat;Mamuju;Karossa;Lembah Hopo;;2019-08-28;Jalan Lembah Hopo
KSI;Stasiun Gempa Bumi;;Stageof Kepahiang;;https://www.google.com/maps?q=-3.651,102.5929;-3.651;102.5929;517;Bengkulu;Kepahiang;Kepahiang;Pasar Ujung;;2005-07-20;Jl. Pembangunan No. 156 Pasar Ujung, Kepahiang
KTMI;Stasiun Gempa Bumi;;Stageof Maluku Tenggara Barat;;https://www.google.com/maps?q=-7.66,131.58;-7.66;131.58;70;Maluku;Kepulauan Tanimbar;Kormomolin;Alusi Tamrian;;2019-10-01;Jl. Aruidas - Arma
KTTI;Stasiun Gempa Bumi;;Stageof Sumba Timur;;https://www.google.com/maps?q=-10.0369,124.5163;-10.0369;124.5163;129;Nusa Tenggara Timur;Timor Tengah Selatan;Kolbano;Spaha;;2019-10-01;Kantor Desa Spaha
KUBSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-4.78121,123.18684;-4.78121;123.18684;;SulawesiTenggara;;;;;2023-01-01;Kantor Satpol PP, Jalan Raya Bumi Sara'ea, Sara'Ea, Kulisusu, Buton Utara, Sulawesi Tenggara, Sulawesi, Indonesia
KUKI;Stasiun Gempa Bumi;;Stageof Balikpapan;;https://www.google.com/maps?q=0.084665,115.662491;0.084665;115.662491;110;Kalimantan Timur;;;;;2021-12-15;Kutai Barat, Kalimantan Timur, Kalimantan, Indonesia
KUSI;Stasiun Gempa Bumi;;Stageof Aceh Selatan;;https://www.google.com/maps?q=3.196534,97.370731;3.196534;97.370731;24;Aceh;Aceh Selatan;Kluet Tengah;Malaka;;2019-10-01;Kantor Camat Kluet Tengah Jl. Kota Fajar - Manggamat
KWJI;Stasiun Gempa Bumi;;Stageof Banjarnegara;;https://www.google.com/maps?q=-7.383235,109.969321;-7.383235;109.969321;945;Jawa Tengah;Wonosobo;Kertek;;;2019-10-01;Jalan Raya Parakan, Gondang, Kertek, Wonosobo, Jawa Tengah, Jawa, 56371, Indonesia
LASI;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=4.457253,97.970444;4.457253;97.970444;4;Aceh;Langsa;Langsa Lama;Meurendeh;;2008-01-01;Jl. Meurendeh Komplek Kampus STAIN Langsa
LBFI;Stasiun Gempa Bumi;;Stageof Alor;;https://www.google.com/maps?q=-8.48,119.8921;-8.48;119.8921;132;Nusa Tenggara Timur;Flores;Manggarai Barat;;;2006-01-01;Jalan Yos Adu, Komplek Rumah Dinas BMKG Komodo Labuan Bajo, Batu Cermin, Komodo, Manggarai Barat, Nusa Tenggara Timur
LBNFM;Stasiun Gempa Bumi;;Stageof Mataram;;https://www.google.com/maps?q=-8.6018,119.0121;-8.6018;119.0121;75;Nusa Tenggara Barat;Bima;Lambu;Sumi;;2020-11-01;Kantor Camat Lambu Jl. Jenderal Sudirman, Sumi, Lambu, Bima, Nusa Tenggara Bar. 84182
LBTSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-0.475,100.625;-0.475;100.625;;SumateraBarat;;;;;2023-01-01;Kecamatan Tanjung Emas, Tanah Datar, Sumatera Barat, Sumatera, Indonesia
LDSI;Stasiun Gempa Bumi;;Stageof Deli Serdang;;https://www.google.com/maps?q=2.886174,98.15713;2.886174;98.15713;819;Sumatera Utara;Dairi Sumut;Tiga Lingga;Dusun Laurambong II;;2019-09-28;Desa Lau Pak pak, Kecamatan Tiga Lingga
LEM;Stasiun Gempa Bumi;;Stageof Bandung;;https://www.google.com/maps?q=-6.8266,107.6175;-6.8266;107.6175;1292;Jawa Barat;Bandung Barat;Lembang;Lembang;;2010-01-01;Pos Observasi Geofisika, Jalan Teropong Bintang, Kampung Pencut
LEMFI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-8.707,120.172;-8.707;120.172;;NusaTenggaraTimur;;;;;2023-01-01;Tangge, Manggarai Barat, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
LESM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-4.961564,103.71254;-4.961564;103.71254;39;Lampung;Pesisir Barat;Lemong;Cahaya negeri;;2019-10-01;Jl. lintas barat sumatera
LHMI;Stasiun Gempa Bumi;;Stageof Aceh Besar;;https://www.google.com/maps?q=5.228702,96.947;5.228702;96.947;32;Aceh;Lhokseumawe;;;;2007-08-17;Jalan Meteorologi, Bandara Malikussaleh
LHSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-4.177995,103.57541;-4.177995;103.57541;1494;Sumatera Selatan;Lahat;Semendo;;;2019-10-01;Kantor kecamatan Semendo darat ulu
LISM;Stasiun Gempa Bumi;;Stageof Aceh Besar;;https://www.google.com/maps?q=4.431568,96.862605;4.431568;96.862605;1374;Aceh;Aceh Tengah;Lingge Isaq;;;2019-10-01;Kantor BPP Linge Isaq
LJPI;Stasiun Gempa Bumi;;Stageof Jayapura;;https://www.google.com/maps?q=-3.1271,139.945;-3.1271;139.945;318;Papua;Jayapura;Lereh;Kaureh;;2019-10-01;Komando Rayon Militer 1701, Kaureh, Lereh
LKCI;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-3.492197,120.885749;-3.492197;120.885749;75;Sulawesi Tenggara;Kolaka Utara;Lasusua;Lasusua;;2019-10-01;Komplek Perkantoran Pemda
LKSM;Stasiun Gempa Bumi;;Stageof Padang Panjang;;https://www.google.com/maps?q=0.1847,100.6;0.1847;100.6;186;Sumatera Barat;Limapuluh Koto;Suliki;Suliki;;2019-10-01;Lima Puluh Kota, Sumatera Barat, Sumatera, Indonesia
LKUCM;Stasiun Gempa Bumi;;Stageof Kendari;;https://www.google.com/maps?q=-3.302,122.192;-3.302;122.192;107;Sulawesi Tenggara;Konawe Utara;Langgikima;;;2020-11-01;Komplek Kantor Kecamatan Langgikima, Kabupaten Konawe Utara
LLSI;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-3.27843,102.9139;-3.27843;102.9139;129;Sumatera Selatan;Kota Lubuk Linggau;Lubuk Linggau Barat;;;2019-10-01;Jalan Letkol Sukirno, Lubuklinggau Timur I, Lubuklinggau, Sumatera Selatan, Sumatera, 31625, Indonesia
LLSM;Stasiun Gempa Bumi;;Stageof Lampung Utara;;https://www.google.com/maps?q=-5.600413,104.80943;-5.600413;104.80943;37;Lampung;Tanggamus;Limau;;;2019-10-01;Tegineneng, Tanggamus, Lampung, Sumatera, Indonesia
LMNI;Stasiun Gempa Bumi;;Stageof Kupang;;https://www.google.com/maps?q=-8.23386,123.716;-8.23386;123.716;78;Nusa Tenggara Timur;;;;;2019-08-28;Hoelea Ii, Lembata, Nusa Tenggara Timur, Nusa Tenggara, Indonesia
LMTI;Stasiun Gempa Bumi;;Stageof Sumba Timur;;https://www.google.com/maps?q=-8.6011,120.4771;-8.6011;120.4771;1229;Nusa Tenggara Timur;Manggarai;Langke Rembong;Tenda;;2019-10-01;Jl. Satar Tacik No. 18
LOCM;Stasiun Gempa Bumi;;Stageof Palu;;https://www.google.com/maps?q=-1.6502,120.1825;-1.6502;120.1825;1370;Sulawesi Tengah;Poso;Lore Tengah;;;2019-10-01;Bariri
LOMSI;Stasiun Gempa Bumi;;Garansi;;https://www.google.com/maps?q=-4.91095,122.74157;-4.91095;122.74157;;SulawesiTenggara;;;;;2023-01-01;Waarah, Muna, Sulawesi Tenggara, Sulawesi, Indonesia
LPCM;Stasiun Gempa Bumi;;Stageof Gowa;;https://www.google.com/maps?q=-3.501,119.72;-3.501;119.72;29;Sulawesi Selatan;Pinrang;Lembang;;;2019-10-01;Enrekang, Sulawesi Selatan, Sulawesi, Indonesia
